module:input:0:alpha	module:input:0:density	module:input:0:numVertex	module:measure:PAPI:PAPI_LD_INS	module:measure:PAPI:PAPI_TOT_INS	module:measure:time:time	module:measure:timestamp:End	module:measure:timestamp:Start	module:output:0:rssUsage	module:output:0:vmUsage
0.85	0.6	400000	1697012824	5024938404	1.684365	1426649548.307845	1426649546.62347	63576	68940
0.85	0.6	400000	1697002237	5024938404	1.684858	1426649656.840138	1426649655.15527	63576	68940
0.85	0.7	400000	1915704990	5671253143	1.980906	1426649443.132293	1426649441.151378	68836	74632
0.85	0.7	400000	1915697838	5671253139	1.929946	1426649551.883066	1426649549.95311	68836	74632
0.85	0.4	100000	280972672	843896426	0.252864	1426649607.040505	1426649606.787633	12228	12384
0.85	0.7	400000	1915771614	5671253530	1.94484	1426649660.416212	1426649658.471311	65068	74632
0.85	0.8	400000	2095314547	6198682693	2.195615	1426649447.03775	1426649444.842125	72768	77176
0.85	0.8	400000	2095369030	6198683045	2.148068	1426649555.73764	1426649553.589509	69000	77176
0.85	0.8	400000	2095283818	6198682868	2.138297	1426649664.270032	1426649662.131724	72768	77176
0.85	0.2	40000	60807319	184203040	0.088033	1426649337.034575	1426649336.946534	3076	3592
0.85	0.2	40000	60795018	184202968	0.054567	1426649449.047644	1426649448.993069	3152	3592
0.85	0.2	40000	60794949	184202967	0.054196	1426649557.734798	1426649557.680594	3152	3592
0.85	0.3	40000	86919417	262842884	0.121087	1426649338.286755	1426649338.16566	4120	4516
0.85	0.3	40000	86916550	262842880	0.077815	1426649450.246219	1426649450.168396	4120	4516
0.85	0.3	40000	86917502	262842879	0.07720399999999999	1426649558.927029	1426649558.849817	4120	4516
0.85	0.5	100000	348025801	1045541165	0.362872	1426649389.808769	1426649389.445889	14340	15508
0.85	0.4	40000	107845730	325580852	0.136274	1426649339.547946	1426649339.411664	4968	5176
0.85	0.4	40000	107840680	325580850	0.096682	1426649451.477416	1426649451.380726	4968	5176
0.85	0.4	40000	107841523	325580850	0.096314	1426649560.155683	1426649560.059361	4968	5176
0.85	0.5	40000	129919688	391598101	0.125505	1426649340.800452	1426649340.67494	5688	5944
0.85	0.5	40000	129918356	391598101	0.117349	1426649452.72957	1426649452.612214	5688	5944
0.85	0.5	40000	129915970	391598103	0.117202	1426649561.4076	1426649561.29039	5688	5944
0.85	0.6	40000	148509989	447430251	0.183437	1426649342.127766	1426649341.944322	6280	6408
0.85	0.6	40000	148507882	447430246	0.13461	1426649454.011902	1426649453.877284	6280	6408
0.85	0.6	40000	148507061	447430247	0.134413	1426649562.674931	1426649562.54051	6280	6408
0.85	0.7	40000	170292326	513533758	0.198198	1426649343.466391	1426649343.268185	6920	7404
