module:input:0:alpha	module:input:0:density	module:input:0:numVertex	module:measure:PAPI:PAPI_LD_INS	module:measure:PAPI:PAPI_TOT_INS	module:measure:time:time	module:measure:timestamp:End	module:measure:timestamp:Start	module:output:0:diff	module:output:0:num_iterations
0.5	0	200000	116679864	306948003	0.05598	1426614692.086911	1426614692.030925	2.160144394083326e-06	10
0.7	0	200000	140288452	369015446	0.067204	1426613395.606012	1426613395.538801	3.946652066921938e-06	12
0.7	0	200000	140288384	369015446	0.067092	1426614044.457247	1426614044.390149	3.946652066921938e-06	12
0.7	0	200000	140288338	369015445	0.067178	1426614693.552827	1426614693.485642	3.946652066921938e-06	12
0.8	0	200000	152092451	400049167	0.07281899999999999	1426613397.077573	1426613397.004747	5.807476916555969e-06	13
0.8	0	200000	152092789	400049168	0.073168	1426614045.935344	1426614045.862169	5.807476916555969e-06	13
0.8	0	200000	152092507	400049168	0.072868	1426614695.030466	1426614694.957591	5.807476916555969e-06	13
0.99	0	200000	187505056	493150332	0.089613	1426613400.063431	1426613399.973811	5.223021852186643e-06	16
0.99	0	200000	187505665	493150333	0.089642	1426614048.903365	1426614048.813716	5.223021852186643e-06	16
0.99	0	200000	187505288	493150332	0.08963599999999999	1426614698.014192	1426614697.924548	5.223021852186643e-06	16
0.9	0	200000	163896924	431082889	0.078303	1426613398.555263	1426613398.476953	9.077648454661591e-06	14
0.9	0	200000	163896668	431082889	0.07845299999999999	1426614047.413261	1426614047.334801	9.077648454661591e-06	14
0.9	0	200000	163897396	431082890	0.078941	1426614696.516409	1426614696.437462	9.077648454661591e-06	14
0.3	0	200000	130474484	343774621	0.065442	1426613401.712189	1426613401.646739	3.121542109837466e-06	8
0.3	0	200000	130474273	343774621	0.065361	1426614050.508276	1426614050.442907	3.121542109837466e-06	8
0.3	0	200000	130474321	343774621	0.065189	1426614699.616153	1426614699.550956	3.121542109837466e-06	8
0.5	0	200000	163562094	430892003	0.081415	1426613403.334094	1426613403.252672	3.823666262504403e-06	10
0.5	0	200000	163562256	430892003	0.08150399999999999	1426614052.134486	1426614052.052975	3.823666262504403e-06	10
0.5	0	200000	163562241	430892003	0.081427	1426614701.244209	1426614701.162775	3.823666262504403e-06	10
0.7	0	200000	196650754	518009387	0.09778299999999999	1426613404.988178	1426613404.890388	5.274845722312727e-06	12
0.7	0	200000	196650309	518009385	0.097507	1426614053.773186	1426614053.675672	5.274845722312727e-06	12
0.7	0	200000	196650760	518009387	0.097707	1426614702.894827	1426614702.797113	5.274845722312727e-06	12
0.8	0	200000	213194276	561568076	0.105693	1426613406.643413	1426613406.537713	6.760747834993517e-06	13
0.8	0	200000	213194488	561568077	0.105804	1426614055.431273	1426614055.325462	6.760747834993517e-06	13
0.8	0	200000	213194401	561568077	0.105618	1426614704.546019	1426614704.440394	6.760747834993517e-06	13
0.99	0	200000	262826513	692244152	0.130127	1426613409.970991	1426613409.840857	4.123990863425487e-06	16
0.99	0	200000	262826323	692244150	0.130124	1426614058.774791	1426614058.644661	4.123990863425487e-06	16
0.99	0	200000	262826444	692244149	0.129898	1426614707.889175	1426614707.75927	4.123990863425487e-06	16
0.9	0	200000	229738385	605126767	0.113661	1426613408.300309	1426613408.186641	9.216611281606289e-06	14
0.9	0	200000	229738311	605126768	0.113827	1426614057.095116	1426614056.981283	9.216611281606289e-06	14
0.9	0	200000	229738463	605126767	0.113877	1426614706.205632	1426614706.091747	9.216611281606289e-06	14
0.3	0	200000	142797562	376802922	0.075057	1426613411.788649	1426613411.713584	8.101677956063053e-06	7
0.3	0	200000	142797657	376802922	0.075151	1426614060.525439	1426614060.45028	8.101677956063053e-06	7
0.3	0	200000	142797869	376802922	0.075237	1426614709.640529	1426614709.565285	8.101677956063053e-06	7
0.5	0	200000	184252552	486105860	0.096096	1426613413.558118	1426613413.462014	4.880359021703258e-06	9
0.5	0	200000	184252508	486105861	0.096119	1426614062.307258	1426614062.211131	4.880359021703258e-06	9
0.5	0	200000	184252448	486105861	0.096182	1426614711.410459	1426614711.314269	4.880359021703258e-06	9
0.7	0	200000	225707442	595408800	0.116835	1426613415.350005	1426613415.233162	3.919978395765632e-06	11
0.7	0	200000	225707436	595408800	0.117038	1426614064.101323	1426614063.984277	3.919978395765632e-06	11
0.7	0	200000	225707900	595408800	0.116945	1426614713.20355	1426614713.086594	3.919978395765632e-06	11
0.8	0	200000	246434888	650060270	0.127378	1426613417.153721	1426613417.026336	3.982962558570528e-06	12
0.8	0	200000	246435981	650060279	0.128094	1426614065.905772	1426614065.77767	3.982962558570528e-06	12
0.8	0	200000	246434810	650060268	0.127698	1426614715.023639	1426614714.895933	3.982962558570528e-06	12
0.99	0	200000	287890231	759363208	0.148421	1426613420.807666	1426613420.659238	4.533176712839155e-06	14
0.99	0	200000	287890098	759363208	0.14843	1426614069.551247	1426614069.402809	4.533176712839155e-06	14
0.99	0	200000	287889972	759363208	0.148509	1426614718.676138	1426614718.527622	4.533176712839155e-06	14
0.9	0	200000	267163223	704711741	0.13819	1426613418.973441	1426613418.835243	4.37892537400633e-06	13
0.9	0	200000	267162807	704711739	0.138102	1426614067.722898	1426614067.584788	4.37892537400633e-06	13
0.9	0	200000	267162725	704711739	0.13792	1426614716.839294	1426614716.701367	4.37892537400633e-06	13
0.3	0	200000	168532198	445320313	0.09110600000000001	1426613422.758253	1426613422.667139	9.333744766454595e-06	7
0.3	0	200000	168532286	445320312	0.090956	1426614071.438421	1426614071.347458	9.333744766454595e-06	7
0.3	0	200000	168532215	445320312	0.09088499999999999	1426614720.55922	1426614720.468327	9.333744766454595e-06	7
